
2017-11-27 16:38:29 INFO  TestBase:176, navigating to :-https://psuata.transform.nottingham.ac.uk/psp/psuata/EMPLOYEE/EMPL/h/?tab=PAPP_GUEST
2017-11-27 16:38:32 INFO  TestBase:176, navigating to :-https://psuatb.transform.nottingham.ac.uk/psp/psuatb/EMPLOYEE/EMPL/h/?tab=PAPP_GUEST
2017-11-27 16:38:34 INFO  TC005_MyNott_UK_AllApplicants:121, =========== Starting Create UK Applicants Test=============
2017-11-27 16:38:35 INFO  TC005_MyNott_UK_AllApplicants:151, one
2017-11-27 16:38:35 INFO  TC005_MyNott_UK_AllApplicants:152, Reginald39
2017-11-27 16:38:35 INFO  TC005_MyNott_UK_AllApplicants:153, 5TYl4czDhYk9Oxw$#1
2017-11-27 16:38:35 INFO  TC005_MyNott_UK_AllApplicants:154, UG
2017-11-27 16:38:35 INFO  TC005_MyNott_UK_AllApplicants:155, {"message":[{"id":0,"sex":"Female","entry":"Direct","visa":"Not Required","currency":"Other","payment":false,"conviction":true,"fulltime":true,"campus":"UK","type":"UG","firstname":"Wilhelm","middlename":"Cartwright","lastname":"O'Keefe","username":"Reginald39","dob":"1947-12-01T07:09:20.213Z","dobtxt":"01/12/47","dobDDMMYYYY":"01/12/1947","email":"Nikki_Ritchie@yahoo.com","password":"5TYl4czDhYk9Oxw$","street":"7513 Webster Meadow","city":"New Corineton","county":"Tayside","country":"Palau","postcode":"PM67 0FU","phone":"0800064660","createdAt":1511800715266,"updatedAt":1511800715266}]}
2017-11-27 16:39:40 INFO  TC005_MyNott_UK_AllApplicants:151, two
2017-11-27 16:39:40 INFO  TC005_MyNott_UK_AllApplicants:152, Luciano48
2017-11-27 16:39:40 INFO  TC005_MyNott_UK_AllApplicants:153, rrHqc_QVtRXLVbQ##1
2017-11-27 16:39:40 INFO  TC005_MyNott_UK_AllApplicants:154, UG
2017-11-27 16:39:40 INFO  TC005_MyNott_UK_AllApplicants:155, {"message":[{"id":0,"sex":"Female","entry":"Direct","visa":"Not Required","currency":"CNY","payment":true,"conviction":false,"fulltime":true,"campus":"UK","type":"UG","firstname":"Tavares","middlename":"Bradtke","lastname":"Medhurst","username":"Luciano48","dob":"1942-03-15T20:20:46.134Z","dobtxt":"15/03/42","dobDDMMYYYY":"15/03/1942","email":"Nicolas66@gmail.com","password":"rrHqc_QVtRXLVbQ#","street":"795 Deckow Drive","city":"Port Narcisoton","county":"Fife","country":"Saint Martin","postcode":"AN21 9CU","phone":"08001703902","createdAt":1511800780425,"updatedAt":1511800780425}]}
2017-11-27 16:40:43 INFO  TC005_MyNott_UK_AllApplicants:151, three
2017-11-27 16:40:43 INFO  TC005_MyNott_UK_AllApplicants:152, Maximo47
2017-11-27 16:40:43 INFO  TC005_MyNott_UK_AllApplicants:153, lTWT7072v_v4V51##1
2017-11-27 16:40:43 INFO  TC005_MyNott_UK_AllApplicants:154, UG
2017-11-27 16:40:43 INFO  TC005_MyNott_UK_AllApplicants:155, {"message":[{"id":0,"sex":"Other","entry":"Direct","visa":"Required","currency":"Other","payment":false,"conviction":true,"fulltime":false,"campus":"UK","type":"UG","firstname":"Dolly","middlename":"Morissette","lastname":"Kihn","username":"Maximo47","dob":"1998-05-23T09:05:25.986Z","dobtxt":"23/05/98","dobDDMMYYYY":"23/05/1998","email":"Kailyn97@yahoo.com","password":"lTWT7072v_v4V51#","street":"160 Ratke Rapids","city":"Virginiaville","county":"Gwent","country":"Costa Rica","postcode":"VV28 2YU","phone":"01924134381","createdAt":1511800843205,"updatedAt":1511800843205}]}
2017-11-27 16:41:46 INFO  TC005_MyNott_UK_AllApplicants:151, five
2017-11-27 16:41:46 INFO  TC005_MyNott_UK_AllApplicants:152, Alvera.Frami74
2017-11-27 16:41:46 INFO  TC005_MyNott_UK_AllApplicants:153, Kghxr2qWt0_VFPy�#1
2017-11-27 16:41:46 INFO  TC005_MyNott_UK_AllApplicants:154, UG
2017-11-27 16:41:46 INFO  TC005_MyNott_UK_AllApplicants:155, {"message":[{"id":0,"sex":"Female","entry":"Direct","visa":"Not Required","currency":"GBP","payment":false,"conviction":true,"fulltime":false,"campus":"UK","type":"UG","firstname":"Carlie","middlename":"Bode","lastname":"Emard","username":"Alvera.Frami74","dob":"1981-10-21T09:01:48.274Z","dobtxt":"21/10/81","dobDDMMYYYY":"21/10/1981","email":"Lavern5@hotmail.com","password":"Kghxr2qWt0_VFPy�","street":"87495 Dameon Pass","city":"Bayerville","county":"West Yorkshire","country":"Virgin Islands, U.S.","postcode":"NG9 9PH","phone":"05618967275","createdAt":1511800906227,"updatedAt":1511800906227}]}
2017-11-27 16:42:46 INFO  TC005_MyNott_UK_AllApplicants:151, six
2017-11-27 16:42:46 INFO  TC005_MyNott_UK_AllApplicants:152, Justina.MacGyver56
2017-11-27 16:42:46 INFO  TC005_MyNott_UK_AllApplicants:153, 73aF51umtseazwL@#1
2017-11-27 16:42:46 INFO  TC005_MyNott_UK_AllApplicants:154, UG
2017-11-27 16:42:46 INFO  TC005_MyNott_UK_AllApplicants:155, {"message":[{"id":0,"sex":"Female","entry":"Direct","visa":"Required","currency":"GBP","payment":true,"conviction":true,"fulltime":false,"campus":"UK","type":"UG","firstname":"Leone","middlename":"Prohaska","lastname":"Johns","username":"Justina.MacGyver56","dob":"1978-07-04T00:01:54.019Z","dobtxt":"04/07/78","dobDDMMYYYY":"04/07/1978","email":"Katharina72@gmail.com","password":"73aF51umtseazwL@","street":"70912 VonRueden Keys","city":"Runolfssonburgh","county":"Tyne and Wear","country":"Tunisia","postcode":"FD2 5HZ","phone":"01161052596","createdAt":1511800966536,"updatedAt":1511800966536}]}
2017-11-27 16:43:50 INFO  TC005_MyNott_UK_AllApplicants:151, seven
2017-11-27 16:43:50 INFO  TC005_MyNott_UK_AllApplicants:152, Brigitte.Heathcote17
2017-11-27 16:43:50 INFO  TC005_MyNott_UK_AllApplicants:153, i14srQktyfTXteL*#1
2017-11-27 16:43:50 INFO  TC005_MyNott_UK_AllApplicants:154, UG
2017-11-27 16:43:50 INFO  TC005_MyNott_UK_AllApplicants:155, {"message":[{"id":0,"sex":"Female","entry":"Direct","visa":"Required","currency":"GBP","payment":false,"conviction":true,"fulltime":true,"campus":"UK","type":"UG","firstname":"Maribel","middlename":"Langworth","lastname":"Collins","username":"Brigitte.Heathcote17","dob":"1959-11-11T20:16:33.658Z","dobtxt":"11/11/59","dobDDMMYYYY":"11/11/1959","email":"Jeffery0@hotmail.com","password":"i14srQktyfTXteL*","street":"39727 King Squares","city":"Bettiehaven","county":"Norfolk","country":"Belgium","postcode":"RH4 0EV","phone":"0147665484","createdAt":1511801030566,"updatedAt":1511801030566}]}
2017-11-27 16:44:53 INFO  TC005_MyNott_UK_AllApplicants:151, eight
2017-11-27 16:44:53 INFO  TC005_MyNott_UK_AllApplicants:152, Darius_Considine
2017-11-27 16:44:53 INFO  TC005_MyNott_UK_AllApplicants:153, EVz0BgVzer6TzmG##1
2017-11-27 16:44:53 INFO  TC005_MyNott_UK_AllApplicants:154, UG
2017-11-27 16:44:53 INFO  TC005_MyNott_UK_AllApplicants:155, {"message":[{"id":0,"sex":"Other","entry":"Direct","visa":"Not Required","currency":"GBP","payment":true,"conviction":true,"fulltime":true,"campus":"UK","type":"UG","firstname":"Joseph","middlename":"Romaguera","lastname":"Moen","username":"Darius_Considine","dob":"1958-05-01T15:23:49.210Z","dobtxt":"01/05/58","dobDDMMYYYY":"01/05/1958","email":"Mohammed44@hotmail.com","password":"EVz0BgVzer6TzmG#","street":"13128 Tevin Orchard","city":"Buckridgeborough","county":"East Sussex","country":"Mozambique","postcode":"FJ73 6IL","phone":"05522033115","createdAt":1511801093565,"updatedAt":1511801093565}]}
2017-11-27 16:45:49 INFO  TC005_MyNott_UK_AllApplicants:151, nine
2017-11-27 16:45:49 INFO  TC005_MyNott_UK_AllApplicants:152, Ethan_Gibson
2017-11-27 16:45:49 INFO  TC005_MyNott_UK_AllApplicants:153, qrtc76AUmLhyYcg*#1
2017-11-27 16:45:49 INFO  TC005_MyNott_UK_AllApplicants:154, UG
2017-11-27 16:45:49 INFO  TC005_MyNott_UK_AllApplicants:155, {"message":[{"id":0,"sex":"Male","entry":"Direct","visa":"Required","currency":"Other","payment":true,"conviction":true,"fulltime":false,"campus":"UK","type":"UG","firstname":"Rudy","middlename":"Dooley","lastname":"Lehner","username":"Ethan_Gibson","dob":"1954-12-23T08:40:46.012Z","dobtxt":"23/12/54","dobDDMMYYYY":"23/12/1954","email":"Ocie77@hotmail.com","password":"qrtc76AUmLhyYcg*","street":"476 Stephany Underpass","city":"Janieton","county":"Hampshire","country":"Serbia","postcode":"EY88 1VC","phone":"01971466456","createdAt":1511801149705,"updatedAt":1511801149705}]}
2017-11-27 16:46:51 INFO  TC005_MyNott_UK_AllApplicants:151, ten
2017-11-27 16:46:51 INFO  TC005_MyNott_UK_AllApplicants:152, Ellsworth_Bednar
2017-11-27 16:46:51 INFO  TC005_MyNott_UK_AllApplicants:153, DmKBHtE1StI4WRv##1
2017-11-27 16:46:51 INFO  TC005_MyNott_UK_AllApplicants:154, UG
2017-11-27 16:46:51 INFO  TC005_MyNott_UK_AllApplicants:155, {"message":[{"id":0,"sex":"Male","entry":"Direct","visa":"Required","currency":"GBP","payment":false,"conviction":true,"fulltime":true,"campus":"UK","type":"UG","firstname":"Ashley","middlename":"Cartwright","lastname":"Schmeler","username":"Ellsworth_Bednar","dob":"1979-11-13T11:22:00.522Z","dobtxt":"13/11/79","dobDDMMYYYY":"13/11/1979","email":"Hester.Zieme@gmail.com","password":"DmKBHtE1StI4WRv#","street":"6267 Alicia Causeway","city":"Karianefort","county":"Grampian","country":"Nigeria","postcode":"ZD34 4UK","phone":"0107882548","createdAt":1511801211625,"updatedAt":1511801211625}]}
2017-11-27 16:47:54 INFO  TC005_MyNott_UK_AllApplicants:151, eleven
2017-11-27 16:47:54 INFO  TC005_MyNott_UK_AllApplicants:152, Raven_Abbott46
2017-11-27 16:47:54 INFO  TC005_MyNott_UK_AllApplicants:153, kozzd4OhwTCBSGL*#1
2017-11-27 16:47:54 INFO  TC005_MyNott_UK_AllApplicants:154, UG
2017-11-27 16:47:54 INFO  TC005_MyNott_UK_AllApplicants:155, {"message":[{"id":0,"sex":"Male","entry":"Direct","visa":"Not Required","currency":"GBP","payment":false,"conviction":false,"fulltime":false,"campus":"UK","type":"UG","firstname":"Jaden","middlename":"Moen","lastname":"Medhurst","username":"Raven_Abbott46","dob":"1971-06-02T19:43:52.534Z","dobtxt":"02/06/71","dobDDMMYYYY":"02/06/1971","email":"Dereck.Flatley@gmail.com","password":"kozzd4OhwTCBSGL*","street":"6564 Bettye Mount","city":"Donnellybury","county":"Bedfordshire","country":"Mayotte","postcode":"GJ92 4MY","phone":"0169771924","createdAt":1511801274383,"updatedAt":1511801274383}]}
2017-11-27 17:07:15 INFO  TestBase:176, navigating to :-https://psuata.transform.nottingham.ac.uk/psp/psuata/EMPLOYEE/EMPL/h/?tab=PAPP_GUEST
2017-11-27 17:07:19 INFO  TestBase:176, navigating to :-https://psuatb.transform.nottingham.ac.uk/psp/psuatb/EMPLOYEE/EMPL/h/?tab=PAPP_GUEST
2017-11-27 17:07:22 INFO  TC005_MyNott_UK_AllApplicants:120, =========== Starting Create UK Applicants Test=============
2017-11-27 17:07:24 INFO  TC005_MyNott_UK_AllApplicants:150, one
2017-11-27 17:07:24 INFO  TC005_MyNott_UK_AllApplicants:151, Domenic.Effertz
2017-11-27 17:07:24 INFO  TC005_MyNott_UK_AllApplicants:152, jwHMcxOiKBWi2Wp�#1
2017-11-27 17:07:24 INFO  TC005_MyNott_UK_AllApplicants:153, LLL
